"CustomerID";"Recency";"Frequency";"Monetary"
12346;326;17;-64.68
12347;3;8;5633.32
12348;76;5;2019.4
12349;19;5;4404.54
12350;311;1;334.4
12351;376;1;300.93
12352;37;13;1889.21
12353;205;2;406.76
12354;233;1;1079.4
12355;215;2;947.61
12356;23;6;6373.68
12357;34;3;18287.66
12358;2;5;3887.07
12359;8;14;8714.89
12360;53;9;4212.89
12361;288;4;511.25
12362;4;14;5284.58
12363;110;2;552.0
12364;8;4;1313.1
12365;292;3;320.69
12366;634;1;500.24
12367;5;1;168.9
12368;629;1;917.7
12369;414;3;1791.15
12370;52;7;4320.31
12371;45;5;4067.38
12372;72;3;1298.04
12373;312;3;1127.65
12374;26;4;2989.22
12375;3;3;455.42
12376;390;2;503.15
12377;316;4;3426.32
12378;130;2;5416.32
12379;82;5;1618.27
12380;22;15;7888.0
12381;5;6;1803.96
12382;683;1;-18.38
12383;185;6;1839.31
12384;29;3;566.16
12385;380;2;1923.4
12386;338;2;660.8
12387;416;1;143.94
12388;16;8;3901.11
12389;403;3;1433.33
12390;80;1;549.84
12391;22;7;2747.82
12392;592;1;234.75
12393;73;7;2376.75
12394;64;2;1272.48
12395;16;18;5046.92
12396;675;1;931.43
12397;36;2;2409.9
12398;46;1;1635.66
12399;120;7;1962.3
12400;415;1;205.25
12401;304;1;84.3
12402;324;7;1244.15
12403;50;3;1001.36
12404;683;1;63.24
12405;149;1;1710.39
12406;23;7;6072.21
12407;50;5;1708.12
12408;33;14;4279.64
12409;79;13;23090.47
12410;302;4;1001.46
12411;410;1;346.9
12412;75;8;2581.03
12413;67;6;935.5
12414;218;8;692.41
12415;25;33;143269.29
12416;657;1;202.56
12417;4;27;6708.21
12418;113;5;2016.95
12419;386;2;503.01
12420;64;1;600.39
12421;16;8;1092.83
12422;96;21;4119.35
12423;1;11;2612.19
12424;163;7;3289.78
12425;79;3;1680.81
12426;195;3;1311.41
12427;12;5;1011.87
12428;26;12;7877.2
12429;10;9;7435.51
12430;44;1;256.4
12431;36;33;10719.41
12432;43;5;5059.32
12433;1;11;20428.86
12434;85;5;1062.48
12435;80;6;13925.93
12436;100;1;509.01
12437;2;47;12394.85
12438;15;2;2906.85
12439;683;3;1104.48
12440;458;3;768.15
12441;367;1;347.1
12442;4;1;172.06
12443;733;1;485.31
12444;22;5;5005.46
12445;23;3;426.48
12446;58;1;1002.31
12447;244;1;476.49
12448;45;1;449.45
12449;23;6;4835.89
12450;157;7;666.95
12451;11;10;12546.53
12452;17;3;428.57
12453;135;1;707.09
12454;54;9;4292.71
12455;74;10;5879.95
12456;45;4;3153.89
12457;59;14;2472.31
12458;72;4;1777.49
12459;606;1;454.36
12460;457;1;326.65
12461;95;2;826.88
12462;3;4;1124.01
12463;47;7;1303.63
12464;11;8;1212.05
12465;8;3;733.89
12466;683;1;56.73
12467;387;2;0.0
12468;144;10;3624.55
12469;523;2;3070.54
12470;690;1;211.95
12471;3;129;37948.61
12472;31;37;16956.69
12473;30;9;2848.23
12474;18;54;11966.45
12475;54;2;1149.64
12476;2;38;13715.62
12477;23;12;20173.64
12478;4;1;680.99
12479;4;3;477.3
12480;29;8;5435.1
12481;23;18;12217.03
12482;450;32;21893.53
12483;18;27;4846.87
12484;33;16;6303.85
12485;530;1;708.1
12486;432;1;1037.28
12487;731;2;259.8
12488;10;3;1298.66
12489;337;1;334.93
12490;6;22;9818.64
12491;39;1;460.4
12492;64;3;715.21
12493;166;3;416.79
12494;10;17;1743.52
12495;635;2;323.4
12496;621;2;54.09
12497;82;4;6211.75
12498;22;3;403.7
12499;561;1;393.72
12500;24;25;5872.31
12501;316;2;2089.68
12502;96;5;3723.87
12503;338;2;0.0
12504;19;6;411.0
12505;302;3;908.0
12506;233;1;73.5
12507;135;5;1797.31
12508;27;2;398.27
12509;285;1;176.5
12510;143;16;3689.33
12511;415;2;3065.77
12512;67;2;138.03
12513;85;2;586.79
12514;268;2;1597.76
12515;354;1;383.7
12516;78;4;2648.62
12517;29;6;2464.89
12518;1;5;2056.89
12519;64;3;695.19
12520;80;6;2582.51
12521;143;1;599.68
12522;40;2;192.72
12523;2;30;4220.85
12524;10;18;11091.36
12525;492;8;835.18
12526;1;3;1316.66
12527;82;5;735.51
12528;10;8;1922.28
12529;523;2;311.78
12530;60;12;3689.86
12531;15;3;1899.05
12532;31;1;349.83
12533;619;6;1149.99
12534;131;1;1089.18
12535;92;2;716.35
12536;8;5;4106.82
12537;409;1;732.94
12538;30;2;640.45
12539;23;8;9498.9
12540;20;36;22107.29
12541;30;3;981.18
12542;485;4;423.38
12543;449;1;980.25
12544;30;2;355.7
12545;76;2;1000.39
12546;47;3;1141.5
12547;198;3;383.58
12548;167;1;95.2
12549;576;6;1575.68
12550;80;1;964.83
12551;358;1;168.0
12552;39;2;437.82
12553;9;17;4548.82
12554;449;1;468.5
12555;683;1;129.23
12556;51;2;603.71
12557;17;8;18716.14
12558;2;2;0.0
12559;311;3;536.21
12560;6;4;2101.39
12561;303;1;238.85
12562;9;9;4966.92
12563;409;1;249.24
12564;262;1;456.9
12565;282;2;131.17
12566;73;2;346.7
12567;23;17;13393.82
12568;645;1;70.0
12569;3;35;4064.99
12570;683;1;77.52
12571;40;2;519.61
12572;9;3;1004.72
12573;228;5;717.41
12574;316;1;218.45
12575;458;2;622.82
12576;36;11;2083.87
12577;36;9;1591.35
12578;22;7;4572.45
12579;74;3;410.72
12580;247;2;1052.9
12581;40;1;197.71
12582;239;4;1980.4
12583;3;31;14344.9
12584;4;18;1893.95
12585;235;4;1982.81
12586;18;5;2028.67
12587;8;1;144.0
12588;40;5;938.98
12589;29;11;3094.17
12590;191;5;9853.48
12591;318;3;1352.15
12592;93;8;1152.62
12593;109;3;418.1
12594;38;17;5044.51
12595;505;1;299.02
12596;52;2;618.27
12597;20;5;3683.13
12598;10;15;4414.67
12599;30;13;2296.72
12600;29;26;4955.79
12601;190;7;673.76
12602;59;1;153.12
12603;22;1;739.2
12604;80;2;254.18
12605;366;5;1217.95
12606;683;1;21.0
12607;59;2;0.0
12608;405;1;415.79
12609;79;10;3417.86
12610;23;7;2057.99
12611;53;1;1193.32
12612;58;2;643.59
12613;32;13;6591.52
12614;278;1;315.6
12615;3;11;5564.88
12616;86;7;1045.35
12617;30;1;355.53
12618;22;1;177.31
12619;17;14;3354.95
12620;15;3;1339.41
12621;2;44;24579.31
12622;233;1;180.1
12623;277;9;3639.84
12624;107;2;641.13
12625;212;5;5095.38
12626;24;13;6388.35
12627;11;7;4478.53
12628;5;4;769.61
12629;386;2;1558.22
12630;10;2;1270.88
12631;58;7;3452.27
12632;521;4;738.88
12633;59;10;5595.21
12634;536;2;490.0
12635;90;4;2930.41
12636;739;1;141.0
12637;68;14;8271.66
12638;34;2;921.49
12639;239;3;1312.37
12640;24;3;1174.58
12641;116;1;185.9
12642;26;3;1013.26
12643;129;14;7880.9
12644;130;6;1815.54
12645;34;10;3499.1
12646;5;2;1346.97
12647;23;45;17682.79
12648;155;5;1097.0
12649;108;10;2238.7
12650;4;1;314.44
12651;335;5;365.3
12652;323;3;1011.58
12653;149;3;4160.83
12654;11;5;601.98
12655;424;1;261.35
12656;18;12;6320.78
12657;12;5;1152.06
12658;19;1;686.05
12659;30;1;91.68
12660;12;1;245.1
12661;437;1;162.0
12662;1;22;6949.17
12663;625;3;204.0
12664;9;12;6052.04
12665;325;5;301.45
12666;360;2;1020.98
12667;59;1;620.13
12668;8;12;11380.71
12669;151;4;1607.73
12670;11;8;3750.39
12671;607;1;2622.48
12672;330;3;410.5
12673;6;3;1230.02
12674;12;7;1919.31
12675;554;4;934.8
12676;25;12;2773.09
12677;556;3;389.3
12678;43;23;33851.13
12679;53;9;1058.67
12680;1;4;880.81
12681;15;56;30551.76
12682;4;53;23945.81
12683;5;27;12418.6
12684;8;7;2283.63
12685;29;6;2863.08
12686;372;1;178.28
12687;481;2;2138.91
12688;114;1;4873.81
12689;26;2;1247.61
12690;206;1;389.01
12691;29;7;1170.4
12692;638;1;110.95
12693;121;11;1640.42
12694;71;4;1839.45
12695;8;7;1407.12
12696;435;3;801.15
12697;22;5;939.02
12698;591;1;339.75
12699;418;1;638.11
12700;8;6;4867.99
12701;80;6;2446.41
12702;20;1;219.0
12703;65;7;892.18
12704;8;10;2220.84
12705;16;22;11554.0
12706;683;1;-91.89
12707;292;1;603.42
12708;30;30;5118.16
12709;4;55;30312.61
12710;97;4;1130.57
12711;612;2;1339.05
12712;23;28;6979.66
12713;1;1;848.55
12714;10;12;14093.71
12715;107;1;353.86
12716;4;2;1053.49
12717;152;4;1258.91
12718;72;1;238.25
12719;6;3;608.1
12720;3;41;8047.88
12721;32;10;3906.68
12722;86;6;904.33
12723;4;5;725.07
12724;6;7;2317.52
12725;372;4;2694.56
12726;29;11;4014.6
12727;11;12;5646.53
12728;72;5;1070.17
12729;114;1;453.01
12730;522;1;829.25
12731;24;19;25673.21
12732;180;1;236.26
12733;235;6;2326.82
12734;353;3;639.65
12735;316;2;779.57
12736;333;1;234.0
12737;499;2;3710.5
12738;373;1;310.7
12739;79;4;2726.73
12740;64;1;427.6
12741;530;2;406.07
12742;600;2;1185.02
12743;135;2;546.43
12744;52;14;13158.16
12745;487;3;925.41
12746;528;3;230.85
12747;3;32;9164.59
12748;1;364;49970.13
12749;4;16;6328.49
12750;129;1;275.88
12751;445;1;268.27
12752;82;1;4366.78
12753;4;11;21024.01
12754;236;5;2949.12
12755;250;22;6406.35
12756;87;1;112.08
12757;16;19;4227.7
12758;117;8;9779.0
12759;53;8;5020.74
12760;456;1;347.8
12761;458;2;782.95
12762;8;2;1898.52
12763;139;2;814.16
12764;317;1;1693.88
12765;473;6;1404.58
12766;4;11;10026.43
12767;376;1;949.82
12768;432;2;0.0
12769;239;1;1143.6
12770;211;7;2975.95
12771;465;2;262.5
12772;60;1;892.47
12773;565;2;0.0
12774;536;1;98.7
12775;18;8;1651.32
12776;668;1;55.5
12777;458;1;519.45
12778;20;10;1757.68
12779;22;21;6406.76
12780;599;1;337.4
12781;22;5;707.72
12782;5;14;4526.04
12783;3;8;1603.87
12784;10;3;1804.75
12785;3;5;1079.31
12786;610;1;728.5
12787;10;5;859.18
12788;464;4;444.9
12789;66;3;273.35
12790;193;3;563.45
12791;374;8;777.75
12792;257;3;813.88
12793;335;3;1017.33
12794;54;2;860.41
12795;19;1;430.48
12796;629;1;381.0
12797;361;6;725.46
12798;11;4;8510.93
12799;530;1;219.35
12800;471;3;584.25
12801;478;2;1031.87
12802;184;9;2350.42
12803;394;1;1092.81
12804;466;2;327.02
12805;382;4;1434.95
12806;436;4;2878.96
12807;383;3;269.95
12808;37;5;906.1
12809;169;8;1705.34
12810;535;2;534.99
12811;261;5;1033.9
12812;45;1;229.64
12813;502;3;1687.8
12814;102;1;125.92
12815;148;2;1063.46
12816;96;2;572.2
12817;282;3;690.98
12818;179;2;1517.88
12819;459;1;540.52
12820;4;13;2647.94
12821;215;2;220.8
12822;71;3;918.98
12823;75;18;6501.5
12824;60;1;397.12
12825;522;2;518.63
12826;3;15;2928.69
12827;6;3;430.15
12828;3;6;1018.71
12829;323;4;345.35
12830;38;7;6748.4
12831;263;3;451.11
12832;33;2;383.03
12833;146;1;417.38
12834;283;1;312.38
12835;419;49;6018.67
12836;60;17;6546.47
12837;174;2;688.41
12838;34;12;3376.03
12839;3;31;9927.83
12840;144;11;4013.87
12841;5;42;7390.48
12842;71;4;1917.99
12843;66;34;6345.61
12844;30;4;648.6
12845;268;4;354.09
12846;683;1;15.58
12847;23;2;1636.9
12848;676;1;208.0
12849;32;6;3090.56
12850;446;1;330.0
12851;97;2;284.13
12852;291;2;299.75
12853;108;16;3728.5
12854;79;11;2922.37
12855;373;4;650.94
12856;8;8;2162.68
12857;211;7;3684.25
12858;384;2;151.73
12859;459;1;575.1
12860;694;1;55.47
12861;620;1;68.25
12862;426;2;1008.32
12863;53;7;2775.55
12864;139;2;299.57
12865;27;5;3303.31
12866;284;3;1227.35
12867;27;16;7862.69
12868;186;8;2247.06
12869;682;1;337.67
12870;367;4;1647.15
12871;85;3;744.02
12872;327;13;3678.34
12873;283;3;2027.3
12874;386;3;933.42
12875;144;5;1356.99
12876;58;5;4068.59
12877;4;20;2955.17
12878;19;3;841.64
12879;45;4;552.57
12880;382;2;640.13
12881;276;1;298.0
12882;10;2;1463.04
12883;25;4;703.47
12884;89;1;309.05
12885;64;4;1158.27
12886;68;3;1351.09
12887;384;1;222.4
12888;215;4;313.77
12889;382;6;365.66
12890;25;2;717.27
12891;186;12;819.5
12892;397;1;263.38
12893;31;1;188.14
12894;576;1;157.35
12895;43;3;347.3
12896;731;1;-29.75
12897;205;4;514.25
12898;464;2;310.96
12899;414;1;366.4
12900;423;1;340.33
12901;9;36;16293.1
12902;265;1;138.68
12903;429;1;833.53
12904;19;2;509.58
12905;577;3;1011.82
12906;12;5;2919.81
12907;396;3;440.36
12908;59;7;1272.0
12909;40;13;3034.77
12910;24;14;5747.02
12911;552;1;1680.47
12912;3;5;1662.3
12913;5;13;6700.86
12914;401;1;223.98
12915;149;8;1084.85
12916;139;8;4630.22
12917;129;8;4329.5
12918;627;3;-10953.5
12919;9;8;1301.44
12920;18;4;488.09
12921;4;103;34639.45
12922;162;1;405.38
12923;65;3;789.87
12924;89;14;2423.15
12925;5;3;729.33
12926;412;4;1548.46
12927;395;1;197.31
12928;36;12;4304.89
12929;123;2;105.1
12930;79;4;409.9
12931;22;71;71299.67
12932;540;8;1698.56
12933;25;11;1627.28
12934;737;1;181.65
12935;3;19;4182.01
12936;18;5;1012.9
12937;16;9;3097.61
12938;26;1;114.14
12939;65;20;25264.8
12940;47;4;876.29
12941;725;1;377.49
12942;132;3;942.65
12943;302;4;489.0
12944;36;2;604.51
12945;289;2;900.11
12946;437;1;324.45
12947;144;11;1711.33
12948;17;10;2306.18
12949;31;28;15391.0
12950;3;3;1843.0
12951;9;20;3164.42
12952;6;5;1382.84
12953;10;2;828.81
12954;639;1;162.45
12955;2;14;4734.26
12956;307;4;521.89
12957;5;21;8628.42
12958;401;2;539.49
12959;485;2;133.35
12960;414;4;1322.07
12961;380;1;211.99
12962;8;2;266.39
12963;9;14;3512.79
12964;438;1;132.24
12965;90;1;771.91
12966;10;1;160.18
12967;4;5;3840.77
12968;113;1;135.95
12969;603;1;122.45
12970;8;10;1524.97
12971;4;120;15482.74
12972;414;6;1115.95
12973;414;1;385.55
12974;198;2;408.95
12975;431;8;1993.99
12976;212;8;3156.38
12977;157;4;517.63
12978;386;6;2496.07
12979;730;2;479.54
12980;156;26;15909.39
12981;30;2;372.22
12982;240;17;2562.12
12983;599;1;490.08
12984;19;1;97.5
12985;1;3;1215.62
12986;403;12;1991.59
12987;74;6;1298.51
12988;293;1;535.32
12989;4;39;12846.8
12990;32;7;955.5
12991;24;3;764.82
12992;726;1;93.35
12993;24;10;1191.26
12994;5;5;902.22
12995;78;2;200.72
12996;376;1;355.5
12997;23;16;2065.11
12998;493;4;897.38
12999;197;3;455.88
13000;107;5;965.0
13001;5;37;24136.05
13002;319;3;414.13
